msg_id,context_groups
284804,1
284805,1
284806,1
284807,1
284808,1
284809,1
284810,1
284811,1
284812,1
284814,1
284815,2
284816,2
284817,2
284818,2
284819,2
284820,2
284821,2
284822,2
284823,2
284825,2
284826,2
284827,2
284828,2
284829,2
284830,2
284831,2
284832,2
284833,2
284834,2
284835,2
284836,2
284838,2
284839,2
284842,2
284843,2
284844,2
284845,2
284846,2
284849,2
284850,2
284851,2
284852,2
284853,2
284854,2
284855,2
284856,2
284857,2
284858,2
284859,2
284860,2
284861,2
284862,2
284863,2
284864,2
284865,2
284866,2
284867,2
284869,2
284870,2
284874,2
284875,2
284876,2
284879,2
284880,2
284881,2
284882,2
284883,2
284884,2
284885,2
284886,2
284887,2
284888,2
284889,2
284891,2
284892,2
284893,2
284894,2
284895,2
284896,2
284897,2
284899,2
284900,2
284901,2
284902,2
284903,2
284904,2
284907,2
284908,2
284909,2
284910,2
284911,2
284912,2
284913,2
284914,2
284916,2
284917,2
284918,2
284919,2
284920,2
284921,2
284922,2
284923,2
284924,2
284925,2
284926,2
284927,2
284928,2
284929,2
284930,2
284931,2
284932,2
284933,2
284934,2
284935,2
284936,2
284937,2
284938,2
284939,2
284940,2
284941,2
284942,2
284943,2
284944,2
284945,2
284946,2
284947,2
284948,2
284949,2
284950,2
284951,2
284952,2
284953,2
284954,2
284955,2
284956,2
284957,2
284958,2
284959,2
284960,2
284961,2
284962,2
284963,2
284964,2
284965,2
284966,2
284967,2
284968,2
284969,2
284970,2
284971,2
284972,2
284973,2
284974,2
284975,2
284976,2
284977,2
284979,2
284980,2
284981,2
284982,2
284983,2
284986,2
284987,2
284988,2
284990,2
284991,2
284992,2
284993,2
284994,2
284995,2
284996,2
284997,2
285001,2
285002,2
285003,2
285006,2
285007,2
285008,2
285009,2
285010,2
285011,2
285012,2
285013,2
285017,2
285018,2
285019,2
285020,2
285021,2
285022,2
285023,2
285024,2
285025,2
285026,2
285027,2
285028,2
285029,2
285030,2
285031,2
285032,2
285033,2
285034,2
285035,2
285036,2
285037,2
285038,2
285039,2
285040,2
285041,2
285042,2
285043,2
285044,3
285045,3
285046,3
285047,3
285048,3
285049,3
285050,3
285051,3
285052,3
285053,3
285054,3
285055,3
285056,3
285057,3
285058,3
285059,3
285060,3
285061,3
285062,3
285063,3
285064,3
285065,3
285066,3
285067,3
285068,3
285069,3
285070,3
285071,3
285072,3
285074,3
285075,3
285076,3
285078,3
285079,3
285080,3
